date,siteName,description,rating,url,fishCaught,tideType
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
07/01/2023,Hilton Fishing Pier, This trip was a ton of fun. I caught 55 fish.,5,www.google.com,5,low tide
